Transaction_ID,Borrow_Date,Due_Date,Return_Date,Late_Fee
62,2023-01-01,2023-01-15,2023-01-10,4.09
21,2023-12-01,2023-12-15,2023-12-10,5.90
89,2023-08-01,2023-08-15,2023-08-10,5.70
41,2024-06-01,2024-06-15,2024-06-10,4.70
14,2023-07-01,2023-07-15,2023-07-10,5.05
14,2024-09-01,2024-09-15,2024-09-10,4.87
3,2024-06-01,2024-06-15,2024-06-10,3.77
75,2023-11-01,2023-11-15,2023-11-10,4.03
53,2023-08-01,2023-08-15,2023-08-10,4.59
88,2024-01-01,2024-01-15,2024-01-10,3.64
82,2023-11-01,2023-11-15,2023-11-10,5.15
85,2023-11-01,2023-11-15,2023-11-10,3.28
26,2023-11-01,2023-11-15,2023-11-10,3.91
20,2023-02-01,2023-02-15,2023-02-10,5.28
84,2024-01-01,2024-01-15,2024-01-10,4.79
43,2024-02-01,2024-02-15,2024-02-10,5.83
5,2023-09-01,2023-09-15,2023-09-10,3.42
20,2023-05-01,2023-05-15,2023-05-10,3.28
29,2023-07-01,2023-07-15,2023-07-10,4.41
78,2023-07-01,2023-07-15,2023-07-10,4.61
10,2024-09-01,2024-09-15,2024-09-10,5.38
53,2024-07-01,2024-07-15,2024-07-10,5.09
18,2023-05-01,2023-05-15,2023-05-10,5.80
58,2023-03-01,2023-03-15,2023-03-10,5.62
41,2023-06-01,2023-06-15,2023-06-10,4.72
19,2023-05-01,2023-05-15,2023-05-10,4.85
65,2023-11-01,2023-11-15,2023-11-10,4.33
18,2023-09-01,2023-09-15,2023-09-10,4.96
60,2024-02-01,2024-02-15,2024-02-10,3.21
47,2023-08-01,2023-08-15,2023-08-10,3.52
88,2023-09-01,2023-09-15,2023-09-10,5.28
67,2023-06-01,2023-06-15,2023-06-10,4.73
40,2023-04-01,2023-04-15,2023-04-10,4.99
64,2024-07-01,2024-07-15,2024-07-10,4.23
76,2023-07-01,2023-07-15,2023-07-10,4.08
76,2023-02-01,2023-02-15,2023-02-10,3.30
55,2023-08-01,2023-08-15,2023-08-10,3.93
61,2023-05-01,2023-05-15,2023-05-10,3.03
69,2024-05-01,2024-05-15,2024-05-10,5.37
23,2024-09-01,2024-09-15,2024-09-10,5.03
92,2024-08-01,2024-08-15,2024-08-10,4.93
47,2023-10-01,2023-10-15,2023-10-10,5.56
89,2023-11-01,2023-11-15,2023-11-10,3.74
5,2023-12-01,2023-12-15,2023-12-10,4.08
96,2024-01-01,2024-01-15,2024-01-10,3.11
15,2023-06-01,2023-06-15,2023-06-10,4.04
79,2024-08-01,2024-08-15,2024-08-10,4.86
87,2023-04-01,2023-04-15,2023-04-10,4.75
97,2023-08-01,2023-08-15,2023-08-10,3.38
16,2023-07-01,2023-07-15,2023-07-10,4.95
