Item_Id,Title,Artist,Album,Format
76,Despacito,Adele,Latin Pulse,CD
63,Billie Jean,Taylor Swift,Moonlight Tracks,Digital
40,Shake It Off,Beyoncé,Vibrant Echoes,Vinyl
62,Hello,Ed Sheeran,Voices of the Past,CD
31,Uptown Funk,Billie Eilish,Funky Beats,Digital
25,Wonderwall,The Weeknd,Acoustic Essence,Vinyl
34,Despacito,The Weeknd,Latin Pulse,Digital
21,Smells Like Teen Spirit,Lady Gaga,Electric Vibes,Digital
90,Hotel California,Adele,Melodies of the Horizon,Digital
27,Let It Be,Beyoncé,Eternal Chords,Digital
15,Rolling in the Deep,Billie Eilish,Waves of Passion,CD
43,Rolling in the Deep,Lady Gaga,Waves of Passion,Vinyl
99,Rolling in the Deep,Ed Sheeran,Waves of Passion,Vinyl
50,Let It Be,The Weeknd,Eternal Chords,Digital
74,Hotel California,Beyoncé,Melodies of the Horizon,Digital
29,Thriller,Taylor Swift,Dance of the Night,Vinyl
96,Hey Jude,Adele,Soulful Rhythms,CD
36,Perfect,Billie Eilish,Love Anthems,CD
67,Despacito,Ed Sheeran,Latin Pulse,CD
