12,2675-2913,Kid's Corner,65,2019-04-10
15,4960-4888,Digital Times,78,1996-04-02
17,1500-6453,Healthy Living,30,1988-06-05
26,2496-5781,Kid's Corner,77,2019-04-10
33,7341-5613,Business Strategy,54,1980-10-11
48,0703-7486,Literary Review,61,1994-07-15
55,3767-1311,Art & Sculpture,78,1971-12-12
61,5762-9282,Business Insights,49,2003-05-14
66,2375-601X,Student Times,83,2000-05-25
67,4232-1011,Musical Notes,34,1975-11-08
68,5240-1622,Scientific American,49,1961-05-16
71,0894-9001,Nature's Wonders,48,2001-09-30
74,1220-1184,Food Magazine,92,2004-01-03
76,0382-0253,Pop Culture Weekly,58,2005-12-05
80,5216-6187,Health & Wellness,27,1999-02-01
95,9937-9699,Gourmet Traveler,22,1963-08-07
99,2870-0194,International Relations,51,1998-09-22
