15,Rolling in the Deep,Billie Eilish,Waves of Passion,CD
21,Smells Like Teen Spirit,Lady Gaga,Electric Vibes,Digital
25,Wonderwall,The Weeknd,Acoustic Essence,Vinyl
27,Let It Be,Beyoncé,Eternal Chords,Digital
29,Thriller,Taylor Swift,Dance of the Night,Vinyl
31,Uptown Funk,Billie Eilish,Funky Beats,Digital
34,Despacito,The Weeknd,Latin Pulse,Digital
36,Perfect,Billie Eilish,Love Anthems,CD
40,Shake It Off,Beyoncé,Vibrant Echoes,Vinyl
43,Rolling in the Deep,Lady Gaga,Waves of Passion,Vinyl
50,Let It Be,The Weeknd,Eternal Chords,Digital
62,Hello,Ed Sheeran,Voices of the Past,CD
63,Billie Jean,Taylor Swift,Moonlight Tracks,Digital
67,Despacito,Ed Sheeran,Latin Pulse,CD
74,Hotel California,Beyoncé,Melodies of the Horizon,Digital
76,Despacito,Adele,Latin Pulse,CD
90,Hotel California,Adele,Melodies of the Horizon,Digital
96,Hey Jude,Adele,Soulful Rhythms,CD
99,Rolling in the Deep,Ed Sheeran,Waves of Passion,Vinyl
